time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.389225,-0.314849557,-0.257708772,0.108912636,1.607228371,-0.345529172,0.249655373,-0.005368933,100,-0.639286493,-0.270364114,0.011504856,1.493713792,0.07823302,0.399601995,-0.069029135,100
0.389289,-0.314849557,-0.257708772,0.108912636,1.607228371,-0.345529172,0.249655373,-0.005368933,100,-0.639286493,-0.270364114,0.011504856,1.493713792,0.07823302,0.399601995,-0.069029135,100
0.399354,-0.315616547,-0.257708772,0.108912636,1.607228371,-0.344378687,0.249655373,-0.006135923,100,-0.638519503,-0.270364114,0.011888351,1.493713792,0.07823302,0.399601995,-0.06864564,100
0.409361,-0.314849557,-0.258092268,0.109296131,1.606844875,-0.343995192,0.248504888,-0.006519418,100,-0.639286493,-0.270364114,0.011888351,1.493713792,0.077849525,0.401135976,-0.06864564,100
0.419395,-0.314849557,-0.258092268,0.109679626,1.606844875,-0.343995192,0.248888383,-0.006135923,100,-0.639669989,-0.270364114,0.012271846,1.493713792,0.077849525,0.39998549,-0.06864564,100
0.429382,-0.315616547,-0.258475763,0.109296131,1.606844875,-0.344762182,0.248504888,-0.005368933,100,-0.639286493,-0.270364114,0.011504856,1.494097287,0.07823302,0.39998549,-0.06864564,100
0.439352,-0.315616547,-0.258092268,0.110063122,1.608762351,-0.344378687,0.248888383,-0.005368933,100,-0.639286493,-0.269980619,0.011888351,1.494097287,0.07823302,0.39998549,-0.06864564,100
0.449358,-0.316000042,-0.257708772,0.109296131,1.607228371,-0.344378687,0.248504888,-0.005752428,100,-0.639286493,-0.269980619,0.012271846,1.493330297,0.07823302,0.400368986,-0.067495155,100
0.459352,-0.315233052,-0.258859258,0.109296131,1.607611866,-0.343995192,0.248888383,-0.004985438,100,-0.638902998,-0.270364114,0.012655342,1.494097287,0.078616515,0.39998549,-0.06787865,100
0.469356,-0.315616547,-0.258092268,0.109296131,1.60646138,-0.344378687,0.249271878,-0.005752428,100,-0.639286493,-0.269980619,0.013038837,1.493713792,0.079383506,0.400368986,-0.069029135,100
0.47935,-0.316767033,-0.257708772,0.109296131,1.607995361,-0.344378687,0.249271878,-0.004985438,100,-0.639286493,-0.269980619,0.012271846,1.493713792,0.078616515,0.401135976,-0.06787865,100
0.489356,-0.314849557,-0.258092268,0.109296131,1.607228371,-0.344762182,0.248888383,-0.005752428,100,-0.639669989,-0.269597123,0.011888351,1.492946802,0.079767001,0.400752481,-0.069029135,100
0.499354,-0.314466062,-0.258475763,0.109679626,1.607995361,-0.345145677,0.249271878,-0.004985438,100,-0.639286493,-0.269980619,0.012655342,1.494097287,0.079383506,0.401135976,-0.069029135,100
0.509353,-0.315233052,-0.257325277,0.109296131,1.607228371,-0.344762182,0.248888383,-0.006135923,100,-0.639286493,-0.269597123,0.012655342,1.493330297,0.079767001,0.401135976,-0.06864564,100
0.519347,-0.315616547,-0.257708772,0.108912636,1.606844875,-0.344762182,0.248888383,-0.004985438,100,-0.639286493,-0.269213628,0.012271846,1.494097287,0.079000011,0.401135976,-0.069029135,100
