time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.465847,-0.315616547,-0.258475763,0.109296131,1.607611866,-0.344378687,0.248888383,-0.007669904,100,-0.540344733,-0.452907828,0.026461169,1.795141017,-0.053305832,0.245436926,-0.0479369,100
0.465909,-0.315616547,-0.258475763,0.109296131,1.607611866,-0.344378687,0.248888383,-0.007669904,100,-0.540344733,-0.452907828,0.026461169,1.795141017,-0.053305832,0.245436926,-0.0479369,100
0.476016,-0.315616547,-0.258092268,0.109296131,1.607228371,-0.344378687,0.249271878,-0.007669904,100,-0.540728228,-0.453291323,0.027611654,1.794374027,-0.054072823,0.244669936,-0.0479369,100
0.485995,-0.316000042,-0.258092268,0.109296131,1.607611866,-0.343611696,0.249271878,-0.007286409,100,-0.541111723,-0.453291323,0.026844664,1.794374027,-0.053689328,0.24428644,-0.048320395,100
0.496,-0.316767033,-0.257708772,0.109679626,1.607611866,-0.344378687,0.249271878,-0.006902914,100,-0.540728228,-0.453674818,0.026461169,1.794374027,-0.053689328,0.243902945,-0.047553404,100
0.505983,-0.315233052,-0.258092268,0.108912636,1.606844875,-0.344762182,0.248888383,-0.007669904,100,-0.540344733,-0.453291323,0.026844664,1.794757522,-0.054072823,0.241601974,-0.047553404,100
0.51598,-0.315616547,-0.258092268,0.109296131,1.606844875,-0.344378687,0.248888383,-0.007669904,100,-0.540728228,-0.454058313,0.027995149,1.794374027,-0.053689328,0.240451489,-0.048320395,100
0.525972,-0.316000042,-0.258092268,0.108912636,1.607611866,-0.344762182,0.248888383,-0.007669904,100,-0.540728228,-0.454058313,0.026844664,1.794374027,-0.054072823,0.239684498,-0.0479369,100
0.535969,-0.315233052,-0.257708772,0.109296131,1.607611866,-0.344378687,0.248121392,-0.007669904,100,-0.541495218,-0.453674818,0.026844664,1.794374027,-0.053305832,0.239301003,-0.048320395,100
0.545973,-0.315233052,-0.257708772,0.109296131,1.607228371,-0.344378687,0.248121392,-0.006902914,100,-0.540728228,-0.453674818,0.026461169,1.794757522,-0.054839813,0.239301003,-0.047553404,100
0.55598,-0.315616547,-0.258475763,0.109296131,1.606077885,-0.343995192,0.248504888,-0.007286409,100,-0.540344733,-0.453674818,0.026077673,1.793607036,-0.054072823,0.239301003,-0.0479369,100
0.565974,-0.314849557,-0.258475763,0.109679626,1.607995361,-0.344762182,0.248504888,-0.006902914,100,-0.540344733,-0.453674818,0.026077673,1.793223541,-0.053689328,0.240067993,-0.0479369,100
0.575973,-0.316000042,-0.257708772,0.109679626,1.607611866,-0.344378687,0.248504888,-0.006135923,100,-0.541111723,-0.454058313,0.026461169,1.794374027,-0.053689328,0.239684498,-0.047553404,100
0.585971,-0.315616547,-0.258092268,0.109296131,1.607611866,-0.344762182,0.248504888,-0.007669904,100,-0.540728228,-0.454058313,0.025694178,1.793607036,-0.053689328,0.239684498,-0.0479369,100
0.595969,-0.316000042,-0.258859258,0.108912636,1.607228371,-0.344378687,0.248888383,-0.007669904,100,-0.540728228,-0.454058313,0.026461169,1.793990531,-0.053689328,0.238917508,-0.047553404,100
0.605967,-0.316000042,-0.258859258,0.109296131,1.607228371,-0.344762182,0.248121392,-0.008053399,100,-0.540728228,-0.454058313,0.026844664,1.793990531,-0.053689328,0.239301003,-0.04870389,100
0.615966,-0.314849557,-0.258475763,0.109296131,1.607228371,-0.343995192,0.249271878,-0.008053399,100,-0.541111723,-0.452907828,0.025694178,1.793607036,-0.054456318,0.239301003,-0.048320395,100
0.625984,-0.315616547,-0.259626248,0.109679626,1.606844875,-0.343995192,0.249271878,-0.006902914,100,-0.540728228,-0.453291323,0.026077673,1.793990531,-0.053689328,0.239684498,-0.0479369,100
0.635965,-0.316000042,-0.257708772,0.109296131,1.607228371,-0.345145677,0.249271878,-0.008053399,100,-0.540344733,-0.453674818,0.026077673,1.793607036,-0.053689328,0.239684498,-0.0479369,100
0.645966,-0.315616547,-0.258092268,0.108912636,1.607228371,-0.344762182,0.249271878,-0.006519418,100,-0.540728228,-0.454058313,0.025694178,1.793607036,-0.053305832,0.239301003,-0.0479369,100
0.655973,-0.315616547,-0.258092268,0.108912636,1.607228371,-0.344378687,0.248888383,-0.006902914,100,-0.540728228,-0.453291323,0.026077673,1.793990531,-0.054072823,0.239684498,-0.047553404,100
0.66597,-0.315233052,-0.257708772,0.109679626,1.609529342,-0.344378687,0.249271878,-0.007286409,100,-0.541111723,-0.453291323,0.026844664,1.793990531,-0.053305832,0.239301003,-0.0479369,100
0.675975,-0.316000042,-0.258092268,0.109296131,1.607228371,-0.344378687,0.249271878,-0.007669904,100,-0.540728228,-0.453674818,0.026461169,1.793607036,-0.054072823,0.239684498,-0.0479369,100
0.68597,-0.315616547,-0.258092268,0.109296131,1.607228371,-0.344762182,0.249271878,-0.007286409,100,-0.541111723,-0.453291323,0.026461169,1.793223541,-0.054072823,0.239301003,-0.047553404,100
0.695975,-0.315616547,-0.257325277,0.109296131,1.606844875,-0.345145677,0.248888383,-0.007286409,100,-0.541111723,-0.453291323,0.026077673,1.793607036,-0.053689328,0.239684498,-0.0479369,100
0.705974,-0.316000042,-0.257325277,0.109296131,1.607228371,-0.344378687,0.248504888,-0.006902914,100,-0.540728228,-0.453674818,0.025694178,1.793607036,-0.053305832,0.239301003,-0.0479369,100
0.716003,-0.315616547,-0.258475763,0.108912636,1.60646138,-0.344762182,0.248504888,-0.006519418,100,-0.541111723,-0.453674818,0.027228159,1.793607036,-0.053689328,0.239301003,-0.0479369,100
0.725974,-0.316000042,-0.256941782,0.109296131,1.607228371,-0.344378687,0.248888383,-0.006519418,100,-0.541111723,-0.453674818,0.025310683,1.793607036,-0.053689328,0.239301003,-0.048320395,100
0.736004,-0.315616547,-0.257325277,0.109296131,1.607228371,-0.344762182,0.248121392,-0.007669904,100,-0.541495218,-0.453291323,0.026461169,1.793990531,-0.053305832,0.239301003,-0.0479369,100
